epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,161.995,1.90362,1.40812,0.299,1.70764,1.48495,0.71757,0.67778,0.75637,0.30023,0.77044,0.83333,0.90561,0.63337,1.82421,1.11202,0.13426,1.57993,1.71723,0.0015248,0.0015248,0.0015248
38,166.336,1.85798,1.43189,0.2923,1.66143,1.46559,0.73789,0.43333,0.59848,0.19685,0.72515,0.7917,0.82524,0.58711,2.16488,1.28169,0.1279,1.7113,1.86478,0.0015116,0.0015116,0.0015116
39,170.612,1.86853,1.40757,0.29784,1.67635,1.49846,0.6743,0.63333,0.69561,0.29266,0.74861,0.8,0.83905,0.61662,1.84036,1.12557,0.12807,1.6166,1.65809,0.0014984,0.0014984,0.0014984
40,174.893,1.77935,1.36961,0.29788,1.61134,1.40092,0.7782,0.58513,0.67829,0.27171,0.91262,0.69647,0.80154,0.61263,1.93253,1.34643,0.12669,1.85856,1.75154,0.0014852,0.0014852,0.0014852
41,179.125,1.84913,1.41352,0.28773,1.66999,1.46315,0.5946,0.5,0.55042,0.21099,0.63291,0.63333,0.58842,0.44559,1.99094,1.56669,0.1612,2.09593,1.77921,0.001472,0.001472,0.001472
42,183.463,1.83438,1.40251,0.28038,1.63139,1.42653,0.57502,0.6,0.59053,0.27558,0.75476,0.7184,0.75211,0.5901,1.81122,1.00862,0.13257,1.65825,1.66798,0.0014588,0.0014588,0.0014588
43,187.937,1.79551,1.42295,0.31121,1.54946,1.41524,0.52399,0.56667,0.49195,0.22443,0.67811,0.73333,0.71211,0.52768,2.12718,1.2659,0.14279,1.66504,1.84245,0.0014456,0.0014456,0.0014456
44,192.305,1.77793,1.42799,0.28617,1.61678,1.43446,0.59454,0.63547,0.59494,0.2382,0.62755,0.66667,0.72357,0.52108,1.90671,1.26185,0.15191,1.6754,1.76497,0.0014324,0.0014324,0.0014324
45,196.609,1.80122,1.49578,0.30474,1.67907,1.47116,0.62679,0.61609,0.65481,0.29112,0.75905,0.63015,0.76926,0.58587,1.80923,0.832,0.13999,1.64126,1.7095,0.0014192,0.0014192,0.0014192
46,200.981,1.7807,1.3119,0.29917,1.6046,1.41548,0.81906,0.6,0.6952,0.31665,0.8817,0.66667,0.82294,0.60689,1.88266,1.09319,0.1374,1.57899,1.76741,0.001406,0.001406,0.001406
47,205.257,1.77493,1.25303,0.28095,1.54355,1.42218,0.70745,0.66667,0.72084,0.28893,0.7334,0.8,0.84689,0.59809,2.04293,1.16795,0.14987,1.50731,1.83329,0.0013928,0.0013928,0.0013928
48,209.651,1.80461,1.4085,0.3136,1.58983,1.45574,0.7671,0.63333,0.68005,0.26982,0.80814,0.84264,0.85785,0.65681,1.96822,0.80389,0.12686,1.57645,1.78593,0.0013796,0.0013796,0.0013796
49,213.945,1.78332,1.24706,0.26796,1.52668,1.45865,0.61968,0.63333,0.62776,0.25908,0.76355,0.76667,0.82922,0.63011,2.10782,1.02988,0.15266,1.6155,1.83309,0.0013664,0.0013664,0.0013664
50,218.218,1.74694,1.29513,0.27326,1.54526,1.40258,0.81838,0.63333,0.71648,0.33529,0.92974,0.73333,0.89101,0.68807,1.90585,0.84775,0.13602,1.53268,1.69764,0.0013532,0.0013532,0.0013532
